time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2006-10-15T17:07:49.200Z,19.877,-155.9346667,38.182,6.7,md,43,124,,0.09,hv,hv5532127,2022-07-12T20:35:17.794Z,"14 km SW of Puako, Hawaii",earthquake,0.88,1.71,,,reviewed,hv,hv
2006-10-15T17:14:12.050Z,20.1281667,-155.9835,16.235,6,md,41,153,,0.12,hv,hv6000471,2022-05-02T15:37:43.359Z,"20 km SW of Hawi, Hawaii",earthquake,0.92,3.64,,,reviewed,hv,hv
2007-08-14T05:38:06.310Z,19.3446667,-155.0685,9.182,5.4,md,38,173,,0.11,hv,hv5585859,2022-07-19T19:53:59.729Z,"15 km SSE of Fern Forest, Hawaii",earthquake,0.79,0.39,,,reviewed,hv,hv
2006-11-23T19:20:10.640Z,19.8871667,-155.976,36.456,5,md,43,171,,0.1,hv,hv5539979,2022-05-02T18:32:50.876Z,"17 km WSW of Puako, Hawaii",earthquake,0.84,1.62,,,reviewed,hv,hv
2007-05-24T19:13:43.920Z,19.3956667,-155.251,0.952,4.7,md,40,42,,0.13,hv,hv5569845,2020-04-21T20:24:37.073Z,"5 km SSW of Volcano, Hawaii",earthquake,0.23,0.28,,,reviewed,hv,hv
2006-01-19T02:04:52.370Z,19.0088333,-155.4468333,40.278,4.7,md,37,215,,0.1,hv,hv5476627,2022-07-12T20:49:03.105Z,"15 km ESE of Naalehu, Hawaii",earthquake,0.93,1.33,,,reviewed,hv,hv
2006-02-17T01:22:33.050Z,19.3335,-155.2106667,9.429,4.6,md,37,74,,0.11,hv,hv5483982,2020-04-21T20:24:24.951Z,"12 km SSE of Volcano, Hawaii",earthquake,0.32,0.31,,,reviewed,hv,hv
2006-12-03T12:22:21.340Z,19.9785,-155.9965,11.226,4.6,md,37,287,,0.11,hv,hv5541531,2020-04-21T20:24:34.926Z,"16 km W of Puako, Hawaii",earthquake,1.14,0.68,,,reviewed,hv,hv
2006-07-27T20:03:33.670Z,20.349,-156.5716667,30.585,4.4,md,47,161,,0.11,hv,hv5512212,2020-04-21T20:24:26.925Z,"36 km SSW of M?kena, Hawaii",earthquake,0.84,1.77,,,reviewed,hv,hv
2007-08-15T12:23:10.090Z,19.3295,-155.2093333,8.868,4.4,md,39,78,,0.1,hv,hv5586032,2020-04-21T20:24:42.284Z,"12 km SSE of Volcano, Hawaii",earthquake,0.38,0.28,,,reviewed,hv,hv
2008-09-20T03:59:43.200Z,19.3226667,-155.1061667,9.01,4.3,md,37,158,0.04253,0.1,hv,hv5660278,2020-04-21T20:24:48.338Z,"16 km S of Fern Forest, Hawaii",earthquake,0.56,0.34,,,reviewed,hv,hv
2006-10-15T20:35:20.710Z,20.1278333,-156.022,23.085,4.26,ml,41,271,,0.13,hv,hv5532233,2020-04-21T20:24:30.115Z,"23 km WSW of H?w?, Hawaii",earthquake,0.95,1.79,0.1,2,reviewed,hv,hv
