time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-04-14T22:44:45.700Z,19.328,-155.2105,9.028,4.91,ml,41,75,,0.11,hv,hv60075581,2022-07-15T07:55:31.255Z,"12 km S of Volcano, Hawaii",earthquake,0.49,0.36,0.107,10,reviewed,hv,hv
2009-10-23T09:13:50.140Z,18.8785,-155.2133333,31.441,4.78,ml,47,259,,0.1,hv,hv60116881,2022-07-15T19:39:37.206Z,"43 km ESE of Naalehu, Hawaii",earthquake,1.03,1.74,0.151,10,reviewed,hv,hv
2010-11-24T04:34:12.730Z,20.5563333,-156.5573333,23.357,4.7,mc,10,157,,0.08,hv,hv60192186,2022-07-19T00:35:51.104Z,"16 km SW of M?kena, Hawaii",earthquake,1.46,31.61,,0,reviewed,hv,hv
2011-03-11T08:58:25.780Z,19.3406667,-154.9923333,8.942,4.57,ml,31,217,,0.08,hv,hv60222496,2022-07-22T18:41:31.688Z,"16 km SSW of Leilani Estates, Hawaii",earthquake,0.84,0.47,0.252,8,reviewed,hv,hv
2010-03-09T04:29:57.100Z,19.8565,-155.3641667,29.791,4.53,md,47,80,,0.1,hv,hv60134711,2021-03-01T21:48:28.136Z,"19 km SW of Laup?hoehoe, Hawaii",earthquake,0.56,1.13,0.159,23,reviewed,hv,hv
2011-10-20T00:10:04.340Z,19.8833333,-155.5323333,16.329,4.47,ml,43,105,,0.14,hv,hv60276536,2022-07-23T07:30:49.899Z,"21 km SE of Waimea, Hawaii",earthquake,0.58,1.68,0.202,37,reviewed,hv,hv
2009-03-09T19:44:53.150Z,20.135,-155.164,21.978,4.25,ml,39,251,0.2973,0.11,hv,hv5699742,2020-04-21T20:24:56.768Z,"18 km NNE of Laup?hoehoe, Hawaii",earthquake,1.18,3.15,0.65,2,reviewed,hv,hv
2009-04-22T02:58:09.840Z,19.3245,-155.11,8.55,4.17,ml,47,153,,0.11,hv,hv60077236,2022-07-15T08:33:25.788Z,"15 km S of Fern Forest, Hawaii",earthquake,0.61,0.29,0.18,24,reviewed,hv,hv
2010-10-30T01:09:25.100Z,20.1451667,-155.5018333,32.623,4.12,md,37,182,,0.12,hv,hv60187981,2022-07-22T12:06:07.083Z,"7 km ENE of Kukuihaele, Hawaii",earthquake,0.88,1.65,0.105,18,reviewed,hv,hv
2011-11-20T20:17:21.100Z,19.5333333,-155.633,8.793,4,mc,45,60,,0.12,hv,hv60285426,2022-07-23T10:41:39.157Z,"25 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.42,0.26,,0,reviewed,hv,hv
