time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-06-05T00:12:39.730Z,18.9148333,-155.061,40.041,5.3,mw,76,261,,0.11,hv,hv60508246,2022-08-06T16:11:21.275Z,"54 km SE of P?hala, Hawaii",earthquake,0.7,1.09,,0,reviewed,hv,hv
2012-03-24T20:47:15.290Z,19.863,-155.133,42.108,4.88,ml,50,98,,0.1,hv,hv60326516,2022-07-23T19:49:51.680Z,"1 km SW of Honomu, Hawaii",earthquake,0.59,0.99,0.208,44,reviewed,hv,hv
2013-08-11T15:54:05.430Z,19.3385,-155.2703333,30.864,4.85,ml,74,78,,0.12,hv,hv60521547,2022-07-25T20:10:10.869Z,"12 km SSW of Volcano, Hawaii",earthquake,0.32,0.43,0.235,42,reviewed,hv,hv
2012-01-23T02:36:32.260Z,19.3208333,-155.1208333,7.988,4.69,ml,41,138,,0.11,hv,hv60302526,2022-07-23T14:59:47.250Z,"16 km S of Fern Forest, Hawaii",earthquake,0.57,0.33,0.134,48,reviewed,hv,hv
2013-01-05T14:37:18.080Z,19.3401667,-155.0681667,8.432,4.55,ml,67,162,,0.12,hv,hv60447191,2022-07-24T14:58:32.277Z,"15 km SSE of Fern Forest, Hawaii",earthquake,0.48,0.29,0.15,58,reviewed,hv,hv
2014-08-07T16:24:04.210Z,20.0788333,-155.7935,15.276,4.47,ml,50,121,,0.14,hv,hv60748981,2022-07-26T21:43:23.633Z,"12 km NNE of Puako, Hawaii",earthquake,0.46,0.95,0.154,45,reviewed,hv,hv
2013-06-21T10:04:10.550Z,21.5963333,-157.0066667,34.505,4.47,ml,10,223,,0.2,hv,hv60514421,2020-07-06T20:36:20.230Z,"49 km N of Kualapu‘u, Hawaii",earthquake,2.41,4.83,0.151,17,reviewed,hv,hv
2013-04-13T20:45:22.910Z,20.383,-154.9315,16.895,4.4,ml,73,246,,0.13,hv,hv60489076,2020-07-06T20:35:44.980Z,"54 km NE of Laup?hoehoe, Hawaii",earthquake,1.17,31.61,0.14,51,reviewed,hv,hv
2012-02-24T13:52:45.210Z,19.4346667,-155.3115,5.225,4.31,ml,50,48,,0.11,hv,hv60314266,2022-07-23T17:29:08.497Z,"8 km W of Volcano, Hawaii",earthquake,0.29,0.46,0.249,39,reviewed,hv,hv
2012-11-25T03:59:46.180Z,18.9581667,-155.1958333,23.551,4.27,ml,48,246,,0.09,hv,hv60434266,2022-07-24T12:55:54.390Z,"40 km SE of P?hala, Hawaii",earthquake,0.96,2.13,0.169,53,reviewed,hv,hv
