time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-07-17T19:15:02.970Z,18.7721667,-155.4455,32.174,5.4,md,43,277,,0.09,hv,hv5440164,2022-05-02T17:15:36.736Z,"35 km SSE of Naalehu, Hawaii",earthquake,1.57,1.91,,,reviewed,hv,hv
2005-07-15T15:48:54.490Z,20.4358333,-155.1348333,15.122,5.3,md,43,238,,0.13,hv,hv5439834,2022-07-12T20:51:00.485Z,"50 km NNE of Pa‘auilo, Hawaii",earthquake,2.62,16.48,,,reviewed,hv,hv
2005-05-13T10:06:41.660Z,18.8673333,-155.2001667,43.42,5.1,md,37,261,,0.09,hv,hv5432007,2020-04-21T20:24:20.434Z,"45 km ESE of Naalehu, Hawaii",earthquake,1.41,1.93,,,reviewed,hv,hv
2003-08-27T06:24:22.180Z,19.324,-155.2041667,9.09,5,md,37,139,,0.11,hv,hv5309745,2020-04-21T20:24:14.016Z,"13 km SSE of Volcano, Hawaii",earthquake,0.55,0.41,,,reviewed,hv,hv
2004-10-12T23:17:58.260Z,19.3371667,-155.1188333,8.488,4.5,md,35,177,,0.12,hv,hv5397843,2020-04-21T20:24:18.324Z,"14 km S of Fern Forest, Hawaii",earthquake,0.54,0.43,,,reviewed,hv,hv
2005-07-26T08:08:35.420Z,19.3456667,-155.3241667,30.5,4.5,md,39,53,,0.11,hv,hv5441103,2020-04-21T20:24:22.343Z,"14 km SW of Volcano, Hawaii",earthquake,0.53,0.74,,,reviewed,hv,hv
2005-12-07T11:42:13.210Z,18.9598333,-155.1998333,21.209,4.5,md,33,245,,0.14,hv,hv5469927,2020-03-31T21:34:50.200Z,"39 km SE of P?hala, Hawaii",earthquake,2.42,5.09,,,reviewed,hv,hv
2005-11-30T08:26:22.700Z,19.3228333,-155.1071667,8.877,4.5,md,39,157,,0.11,hv,hv5468399,2020-04-21T20:24:23.561Z,"16 km S of Fern Forest, Hawaii",earthquake,0.49,0.35,,,reviewed,hv,hv
2005-04-23T13:01:29.950Z,18.7931667,-155.1905,43.6,4.27,ml,37,272,,0.1,hv,hv5429048,2020-04-21T20:24:20.005Z,"51 km SE of Naalehu, Hawaii",earthquake,0.94,1.89,,1,reviewed,hv,hv
2005-10-10T09:44:59.270Z,19.4951667,-155.4675,3.945,4.2,md,40,61,,0.13,hv,hv5453584,2020-04-21T20:24:22.776Z,"25 km WNW of Volcano, Hawaii",earthquake,0.35,0.85,,,reviewed,hv,hv
